key|description
ABS Auto|Asset Backed Security (backed by AUTO loans)
ABS Card|Asset Backed Security (backed by Other less common loans and receivables) i.e. Charge accounts, Reference Notes, etc.
ABS Home|Asset Backed Security (backed by Other less common loans and receivables) i.e. Charge accounts, Reference Notes, etc.
ABS Other|Asset Backed Security (backed by Home Equity loans)
ACCEPT BANCARIA|Mexico Bankers Acceptances
ADJ CONV. TO FIXED|These are bonds that had been adjustable, but were remarketed as Fixed interest rate bonds, and the coupon rate will no longer be subject to change.
ADJ CONV. TO FIXED, OID|These are bonds that had been adjustable, but were remarketed as Fixed interest rate bonds, and the coupon rate will no longer be subject to change. The security is an Original Issue Discount.
ADJUSTABLE|The rate changes throughout the life of the bond. This includes variables and step-coupons.
ADJUSTABLE, OID|The rate changes throughout the life of the bond. The security is an Original Issue Discount.
ADR|A negotiable certificate issued by a U.S. bank representing a specified number of shares (or one share) in a foreign stock that is traded on a U.S. exchange. ADRs are denominated in U.S. dollars, with the underlying security held by a U.S. financial institution overseas. ADRs help to reduce administration and duty costs that would otherwise be levied on each transaction.
Agncy ABS Home|Asset Backed Loans issued by an Agency such as SBA
Agncy ABS Other|Asset Backed Loans issued by an Agency such as SBA
Agncy CMBS|Agency Commercial Mortgage security (ie GNR ticker)
Agncy CMO FLT|Agency Floater
Agncy CMO INV|Agency CMO Inverse Floating Rate security, Fannie Mae, Freddie Mac, Ginnie Mae
Agncy CMO IO|Collateralized Mortgage Obligation (CMO). A security which pools together mortgages and separates them into short-, medium-, and long-term positions (called tranches). Tranches are set up to pay different rates of interest depending upon their maturity.
Agncy CMO Other|Agency CMO Other(Less common type of security such as PAC or Sequential) Fannie Mae, Freddie Mac, Ginnie Mae
Agncy CMO PO|Agency collateralized Mortgage Obligations - Principal only
Agncy CMO Z|Agency CMO Z (Accrual Bond), Fannie Mae, Freddie Mac, Ginnie Mae
Asset-Based|A financial security backed by a loan, lease or receivables against assets other than real estate and mortgage-backed securities.
ASSET-BASED BRIDGE|Event-driven loan intended to provide finance for a short period of time until longer-term financing can be obtained. Fully secured by a specific pool of assets, with availability determined as a percentage of the current value of the collateral assets.
ASSET-BASED BRIDGE REV|Event-driven loan intended to provide finance for a short period of time until longer-term financing can be obtained. Fully secured by a specific pool of assets, with availability determined as a percentage of the current value of the collateral assets. Once borrowed funds are repaid they can be borrowed again.
ASSET-BASED DIP|Fully secured by a specific pool of assets, with availability determined as a percentage of the current value of the collateral assets. Issued when a company is in bankruptcy
ASSET-BASED DIP REV|Fully secured by a specific pool of assets, with availability determined as a percentage of the current value of the collateral assets. Issued when a company is in bankruptcy. Once borrowed funds are repaid they can be borrowed again.
ASSET-BASED DIP TERM|Fully secured by a specific pool of assets, with availability determined as a percentage of the current value of the collateral assets. Issued when a company is in bankruptcy. Once borrowed, cannot be re-borrowed.
ASSET-BASED LOC|Fully secured by a specific pool of assets, with availability determined as a percentage of the current value of the collateral assets. Guaranteed by the lender(s) and used for purchase of goods, completion of construction projects, and/or general purposes.
ASSET-BASED REV|Fully secured by a specific pool of assets, with availability determined as a percentage of the current value of the collateral assets. Once borrowed funds are repaid they can be borrowed again.
ASSET-BASED TERM|Fully secured by a specific pool of assets, with availability determined as a percentage of the current value of the collateral assets. Once borrowed, cannot be re-borrowed.
AUSTRALIAN|Market issue type where the issue is an Australian issuer issuing in AUD into the Australian domestic mkt.
AUSTRALIAN CD|Certificate of Deposit (CD). A debt instrument issued by a bank that will pay interest, periodically or at maturity (set by competitive forces in the marketplace), and principal when it reaches maturity. Maturities range from a few weeks to several years. It may have a fixed or floating rate of interest. Certificate of Deposit Rollover. An investment strategy used to defer taxes on income from a Certificate of Deposit. An individual who has purchased a certificate of deposit on margin expected to mature in the following year, can deduct the interest on the loan in the current year and move the income from the certificate to the up-coming year.
AUSTRALIAN CP|Commercial Paper. An unsecured short-term promise to repay a fixed amount on a certain future date. Commercial paper usually matures from 2 to 270 days and is traded on a discount basis. This debt instrument, issued by banks, companies and other borrowers, use only their credit ratings to back the security. Commercial Paper House. A dealer who buys commercial paper at one price, then tries to sell it at another.
Austrian Crt|Austrian Certificate: Depositary Receipt issued in Austria,
BANK ACCEPT BILL|Banker's Acceptance. A draft drawn and accepted by banks that is based upon funds that will pay its face value at maturity. The security is traded at a discount. Because the accepting institution is obligated to pay for the bill, a banker's acceptance is considered less risky than commercial paper. Bloomberg abbreviates bankers acceptance as BA.
BANK BILL|A bank bill is a short-term money market investment of which the acceptor and/or endorser is a bank.
BANK NOTE|Banker's Acceptance. A draft drawn and accepted by banks that is based upon funds that will pay its face value at maturity. The security is traded at a discount. Because the accepting institution is obligated to pay for the bill, a banker's acceptance is considered less risky than commercial paper. Bloomberg abbreviates bankers acceptance as BA.
BANKERS ACCEPT|Bankers Acceptances - a draft or bill of exchange drawn on a bank and accepted by it
BANKERS ACCEPTANCE|A draft drawn and accepted by banks that is based upon funds that will pay its face value at maturity. The security is traded at a discount.
BASIS SWAP|Exchange of different floating indices in the same currency
Basket WRT|A warrant over a group of securities, often within a sector.
BDR|Brazilian Depositary Receipt: These are certificates that represent the stocks from a foreign company and that are issued in Brazil by a local financial institution based on the amount of shares the institution holds.
BEARER DEP NOTE|Bearer Security. A negotiable security owned by the holder who is not registered upon the issuers books. Title to bearer securities is transferred by delivery.
Belgium Cert|Belgium Certificate: Depositary Receipts issued in Belgium.
BELGIUM CP|Belgium Domestic Commercial Paper - An unsecured short-term promise to repay a fixed amount on a certain future date. Commercial paper usually matures from 2 to 270 days and is traded on a discount basis. This debt instrument, issued by banks, companies and other borrowers, use only their credit ratings to back the security. Commercial Paper House. A dealer who buys commercial paper at one price, then tries to sell it at another
BILL OF EXCHANGE|Bill of Exchange. A short-term debt, the collateral for which is either a commodity or another product in the midst of transit. Papers that require the addressee to pay the bearer or anotherr person on demand.
Bond|Bond. A long-term debt security, issued by a corporation or government, with a stated interest rate and fixed due dates when interest and principal must be paid. Specific features are written into each bond's indenture, including whether the interest and principal will be paid to the person in whose name the security is registered, or if it will be payable to anyone presenting its coupons, in which case it is considered a bearer bond. Bondholders have a promise of repayment from the issuer but hold no ownership privileges as stockholders do.
BRAZILIAN CDI|Brazilian Mmkt instrument, interbank deposits or certificado de deposito interbanco (CDI)
BRIDGE|A loan, often event-driven, intended to provide finance for a short period of time until longer-term, permanent financing can be obtained. Bridge loans often contain significant fee and/or interest rate step up provisions which kick in after a short period (i.e. 12 months or less)
BRIDGE DELAY-DRAW|Event-driven loan intended to provide finance for a short period of time until longer-term financing can be obtained. Borrower is allowed to draw down on the loan in one or more drawings within a specified time period after the signing date.
BRIDGE DELAY-DRAW TERM|Event-driven loan intended to provide finance for a short period of time until longer-term financing can be obtained. Borrower is allowed to draw down on the loan in one or more drawings within a specified time period after the signing date.
BRIDGE GUARANTEE FAC|Short-term financing issued by a bank to ensure/guarantee that an underlying project is completed.
BRIDGE ISLAMIC|Event-driven loan intended to provide finance for a short period of time until longer-term financing can be obtained. Interest cannot be charged, complying with Islamic/sharpie law. Instead, the loan is structured using discounts, sale or lease, profit participation, or repurchase agreements.
BRIDGE ISLAMIC TERM|Event-driven loan intended to provide finance for a short period of time until longer-term financing can be obtained. Interest cannot be charged, complying with Islamic/sharpie law. Instead, the loan is structured using discounts, sale or lease, profit participation, or repurchase agreements. Once borrowed, cannot be re-borrowed.
BRIDGE PIK|Event-driven loan intended to provide finance for a short period of time until longer-term financing can be obtained. Interest may be capitalized and added to the principal amount of the loan, which is then compounded and due to lenders at maturity.
BRIDGE PIK REV|Event-driven loan intended to provide finance for a short period of time until longer-term financing can be obtained. Interest may be capitalized and added to the principal amount of the loan, which is then compounded and due to lenders at maturity. Once borrowed funds are repaid they can be borrowed again.
BRIDGE PIK TERM|Event-driven loan intended to provide finance for a short period of time until longer-term financing can be obtained. Interest may be capitalized and added to the principal amount of the loan, which is then compounded and due to lenders at maturity. Once borrowed, cannot be re-borrowed.
BRIDGE REV|Event-driven loan intended to provide finance for a short period of time until longer-term financing can be obtained. Once borrowed funds are repaid they can be borrowed again.
BRIDGE REV GUARANTEE FAC|Short-term financing issued by a bank to ensure/guarantee that an underlying project is completed. Once funds are borrowed, they can be borrowed again.
BRIDGE TERM|Event-driven loan intended to provide finance for a short period of time until longer-term financing can be obtained. Once borrowed, cannot be re-borrowed.
BRIDGE VAT-TRNCH|Event-driven loan intended to provide finance for a short period of time until longer-term financing can be obtained. Given as temporary reimbursement for a VAT credit it has with the state.
BULLDOG|Bulldog Securities. Foreign securities traded in the U.K. with face values and interest payments quoted in pounds sterling. As with Gilts, bulldogs follow an Actual/Actual day count convention.
BUTTERFLY SWAP|Quoted in basis points, butterfly swaps take the spread between 3 different interest rate swaps.
CAD INT BEAR CP|Canadian Interest Bearing Commercial Paper
Calendar Spread Option|Option on a Calendar Spreads which consists of two futures contracts within the same instrument group and with different maturity months.
CALL LOANS|Call Loan. A loan usually made to a broker or specialist by a commercial bank with securities as collateral. Brokers may then loan the money to customers to finance margin activities. Most such loans can be terminated by either party on 24-hours notice and hence are said to involve call money. Also called Brokers'Loan.
CALLABLE CP|An unsecured short-term promise to repay a fixed amount on a certain future date. Commercial paper usually matures from 2 to 270 days and is traded on a discount basis. This debt instrument, issued by banks, companies and other borrowers, use only their credit ratings to back the security.
CANADIAN|Market issue type where the issue is a Canadian issuer issuing in CAD into the Canadian domestic market.
Canadian|Market issue type where the issue is a Canadian issuer issuing in CAD into the Canadian domestic market.
CANADIAN CD|Canadian Certificate of Deposit - A debt instrument issued by a bank that will pay interest, periodically or at maturity (set by competitive forces in the marketplace), and principal when it reaches maturity. Maturities range from a few weeks to several years. It may have a fixed or floating rate of interest. Certificate of Deposit Rollover. An investment strategy used to defer taxes on income from a Certificate of Deposit. An individual who has purchased a certificate of deposit on margin expected to mature in the following year, can deduct the interest on the loan in the current year and move the income from the certificate to the up-coming year.
CANADIAN CP|Canadian Commercial Paper
Car Forward|Carry Forward. shares that show the accumulated and undivided profits of a corporation after provision has been made for dividends and reserves
CASH|Legal tender or coins that can be used in exchange goods, debt, or services. Sometimes also including the value of assets that can be converted into cash immediately, as reported by a company.
CBLO|A money market instrument that represents an obligation between a borrower and a lender as to the terms and conditions of the loan. Collateralized borrowing and lending obligations (CBLOs) are used by those who have been phased out of or heavily restricted in the interbank call money market.
CD|Certificate of Deposit (CD). A debt instrument issued by a bank that will pay interest, periodically or at maturity (set by competitive forces in the marketplace), and principal when it reaches maturity. Maturities range from a few weeks to several years. It may have a fixed or floating rate of interest. Certificate of Deposit Rollover. An investment strategy used to defer taxes on income from a Certificate of Deposit. An individual who has purchased a certificate of deposit on margin expected to mature in the following year, can deduct the interest on the loan in the current year and move the income from the certificate to the up-coming year.
CDI|Chess Depositary Interest
CDR|Continental Depositary Receipt: Certificates issued by the Amsterdam Depository Company NV representing a specific number of shares of a security traded on an exchange of another country.
CF|Cash Flow (Only for CDO,CLO,CBO securities)
Closed-End Fund|A closed-end fund is a collective investment scheme with a limited number of shares. New shares are rarely issued after the fund is launched; shares are not normally redeemable for cash or securities until the fund liquidates. Typically an investor can acquire shares in a closed-end fund by buying shares on a secondary market from a broker, market maker, or other investor as opposed to an Open-end fund where all transactions eventually involve the fund company creating new shares on the fly (in exchange for either cash or securities) or redeeming shares (for cash or securities).
CMBS|Commercial Mortgage Backed Security: a mortgage backed by commercial property.
Cmdt Fut WRT|Commodity Future Warrant - Indicates that the underlying is a commodity future.
Cmdt Idx WRT|Commodity Index Warrant - Indicates that the underlying is a commodity index
COLLAT CALL NOTE|Collateralized Call Notes
COMMERCIAL NOTE|Commercial Notes
COMMERCIAL PAPER|An unsecured short-term promise to repay a fixed amount on a certain future date. Commercial paper usually matures from 2 to 270 days and is traded on a discount basis. This debt instrument, issued by banks, companies and other borrowers, use only their credit ratings to back the security.
Common Stock|Common Stock. A unit of ownership in a public company for which the holder can vote on corporate matters and receive dividends fromthe company's growth. If the company is liquidated the claims of secured and unsecured creditors, bondholders and preferred stockholders take precedence over common stock holders. However, common stock has more potential for appreciation.
CONTRACT FOR DIFFERENCE|Contract For Difference. An arrangement made in a futures contract whereby differences in settlement are made through cash payments, rather than the delivery of physical goods or securities.
CONTRACT FRA|IMM FRAs, FRAs where the payment dates align with Eurodollar future contracts' expiration date
Conv Bond|Convertible Bond. A bond containing a provision that permits conversion to the issuer's common stock at some fixed exchange ratio.
Conv Prfd|Convertible Preferred Stock. Preferred stock that includes an option for the holder to convert the preferred shares into a fixed number of common shares, usually anytime after a predetermined date.
Corp Bnd WRT|Corporate Bond Warrant - Indicates that the underlying is a corporate bond
CP-LIKE EXT NOTE|Extendible Notes issues off of Commercial Paper program prospectus
CPI LINKED|A special type of floating rate bond that is linked to the Consumer Price Index (CPI)
CROSS|Cross-rate: Currency against any other currency except US Dollar, eg EURCAD
Currency future.|Currency Futures. Futures contracts on major currencies (e.g., the British pound, the German mark and the U.S. dollar) that are held by companies doing worldwide business in an effort to reduce their risks by hedging the value of their home country's currency.
Currency option.|Option. A contract that provides the right, but not the obligation, to buy or sell a specific amount of a specific security within a predetermined time period. A call option provides the right to buy 100 shares of the underlying security. A put option provides the right to sell 100 shares of the underlying security. The seller of the contracts is called the writer. Bloomberg abbreviates option as OPT.
Currency spot.|A currency transaction where one leg is the USD
Currency WRT|Currency Warrant - Indicates that the underlying is a currency
DELAY-DRAW|Term loan where borrower is allowed to draw down on the loan in one or more drawings within a specified time period after the signing date. While the loan is technically effective from the signing date, availability is often subject to the completion of specific construction landmarks and/or the closing of a specific acquisition (note that this should not be confused with the Signed but not Effective status).
DELAY-DRAW ISLAMIC|Borrower is allowed to draw down on the loan in one or more drawings within a specified time period after the signing date. Interest cannot be charged, complying with Islamic/sharpie law.
DELAY-DRAW ISLAMIC LOC|Borrower is allowed to draw down on the loan in one or more drawings within a specified time period after the signing date. Interest cannot be charged, complying with Islamic/sharpie law. Guaranteed by the lender(s) and used for purchase of goods, completion of construction projects, and/or general purposes.
DELAY-DRAW ISLAMIC TERM|Borrower is allowed to draw down on the loan in one or more drawings within a specified time period after the signing date. Interest cannot be charged, complying with Islamic/sharpie law. Once borrowed, cannot be re-borrowed.
DELAY-DRAW PIK TERM|Borrower is allowed to draw down on the loan in one or more drawings within a specified time period after the signing date. Interest may be capitalized and added to the principal amount of the loan, which is then compounded and due to lenders at maturity. Once borrowed, cannot be re-borrowed.
DELAY-DRAW STANDBY TERM|Borrower is allowed to draw down on the loan in one or more drawings within a specified time period after the signing date. Issued on a stand-by basis and borrowed only if and when needed. Once borrowed, cannot be re-borrowed.
DELAY-DRAW TERM|Borrower is allowed to draw down on the loan in one or more drawings within a specified time period after the signing date. Once borrowed, cannot be re-borrowed.
DELAY-DRAW TERM VAT-TRNCH|Borrower is allowed to draw down on the loan in one or more drawings within a specified time period after the signing date. Once borrowed, cannot be re-borrowed. Given as temporary reimbursement for a VAT credit it has with the state.
DEPOSIT|The interest rate paid by financial institutions to deposit account holders
DEPOSIT NOTE|Deposit Note. Deposit Notes are securities issued by a financial institution using the deposits of the institution as collateral. These securities carry the FDIC insurance.
DIM SUM BRIDGE TERM|Event-driven loan intended to provide finance for a short period of time until longer-term financing can be obtained. Denominated in Renminbi (RMB) currency, the lending happens outside Mainland China. Once borrowed, cannot be re-borrowed.
DIM SUM DELAY-DRAW TERM|Denominated in Renminbi (RMB) currency, the lending happens outside Mainland China. Borrower is allowed to draw down on the loan in one or more drawings within a specified time period after the signing date. Once borrowed, cannot be re-borrowed.
DIM SUM REV|Event-driven loan intended to provide finance for a short period of time until longer-term financing can be obtained. Denominated in Renminbi (RMB) currency, the lending happens outside Mainland China. Once borrowed, can be borrowed again.
DIM SUM TERM|Denominated in Renminbi (RMB) currency, the lending happens outside Mainland China. Once borrowed, cannot be re-borrowed.
DIP|Loans issued when a company is in bankruptcy. These have a ranking of Super Priority Secured unless stated otherwise.
DIP DELAY-DRAW ISLAMIC TERM|Issued when a company is in bankruptcy. Once borrowed, cannot be re-borrowed. Interest cannot be charged, complying with Islamic/sharpie law.
DIP DELAY-DRAW PIK TERM|Issued when a company is in bankruptcy. Interest may be capitalized and added to the principal amount of the loan, which is then compounded and due to lenders at maturity. Once borrowed, cannot be re-borrowed.
DIP DELAY-DRAW TERM|Issued when a company is in bankruptcy. Borrower is allowed to draw down on the loan in one or more drawings within a specified time period after the signing date. Once borrowed, cannot be re-borrowed.
DIP LOC|Issued when a company is in bankruptcy. Guaranteed by the lender(s) and used for purchase of goods, completion of construction projects, and/or general purposes.
DIP PIK TERM|Issued when a company is in bankruptcy. Interest may be capitalized and added to the principal amount of the loan, which is then compounded and due to lenders at maturity. Once borrowed, cannot be re-borrowed.
DIP REV|Issued when a company is in bankruptcy. Once borrowed funds are repaid they can be borrowed again.
DIP SYNTH LOC|Issued when a company is in bankruptcy. A letter of credit facility which is fully cash collateralized with proceeds of a term loan which has been issued by the same borrower, usually with the same amount and terms.
DIP TERM|Issued when a company is in bankruptcy. Once borrowed, cannot be re-borrowed.
DISCOUNT FIXBIS|Bank of Intl Settlement Discount Notes / Discount Rate
DISCOUNT NOTES|Discount Notes - Short-term issues with no fixed offering schedule which are sold in $100,000 denominations with maturities of 30 to 270 days. Such notes are sold without government guarantees.
DIVIDEND NEUTRAL STOCK FUTURE|Dividend Neutral Stock Futures (DNSF) are derivative instruments that give investors exposure to price movements of an underlying financial instrument (shares). A DNSF is a basket of two futures contracts, constructed from a Single Stock Futures Contract and a Dividend Futures Contract.
DOMESTC TIME DEP|Time Deposit. A deposit in an interest-paying account that requires the money to remain on account for a specific length of time. While withdrawals can generally be made from a passbook account at any time, other time deposits, such as certificates of deposit, are penalized for early withdrawal.
DOMESTIC|A security issued into a country's domestic market
DOMESTIC MTN|A medium term note issued into a country's domestic market.
Dutch Cert|Certificaten Van Aandelen. Netherland securities in the form of bearer certificates, issued by an administration office against the underlying original, mostly registered shares. The office acts as a trustee for the holders of the certificate and exercises voting rights on the shares.
DUTCH CP|Commercial Paper. An unsecured short-term promise to repay a fixed amount on a certain future date. Commercial paper usually matures from 2 to 270 days and is traded on a discount basis. This debt instrument, issued by banks, companies and other borrowers, use only their credit ratings to back the security. Commercial Paper House. A dealer who buys commercial paper at one price, then tries to sell it at another. - DUTCH GUILDER
EDR|European Depository Receipt. A document issued in place of stock shares that represents ownership of the shares, thus making it easier to deal in foreign securities because the actual stock certificates do not have to be physically transferred.
Equity Index|Statistical movement of the stock market as represented by a basket of stocks.
Equity Option|Option. A contract that provides the right, but not the obligation, to buy or sell a specific amount of a specific security within a predetermined time period. A call option provides the right to buy 100 shares of the underlying security.A put option provides the right to sell 100 shares of theunderlying security. The seller of the contracts is called the writer. Bloomberg abbreviates option as OPT.
Equity WRT|Indicates that the underlying is an equity
ETP|Exchange Traded Product is a derivatively-priced security which trades intra-day on a national stock exchange. ETPs are typically benchmarked to indices, stocks, commodities, or may be actively managed.
EURO CD|Eurodollar Certificate of Deposit. A certificate of deposit issued by a bank outside the United States, with interest and principal paid in dollars.
EURO CP|Euro Commercial Paper
EURO MTN|Euro Medium Term Note (EMTN). Continuously offered notes with maturities ranging from nine months to 40 years. Typically unsecured debt obligations, each euro medium term note issue (also known as a tranche) is a drawdown from a program (prospectus) level. EMTNs are flexible in structure and market timing because of this type of issuance (modeled from the commercial paper market). EMTNs are traded in the Euro market.
EURO NON-DOLLAR|Euro Non-Dollar. Any security issued by a U.S. company in a foreign country in a currency other than U.S. dollars.
EURO STRUCTRD LN|Euro Structured Loan Note
EURO TIME DEPST|Time Deposit / Euro Market
EURO-DOLLAR|Eurodollar Bonds. Bonds paying interest and principal in Eurodollars. Such bonds are not regulated by the Securities and Exchange Commission and can therefore be sold at interest rates that are lower than U.S. rates.
EURO-ZONE|Bonds issued by the countries that redenominated their debt from their legacy country to the Euro. Currency of the bond is in Euro.
EXTEND COMM NOTE|Extendible Commercial Notes
EXTEND. NOTE MTN|Extendible Note issued off of MTN type prospectus
FDIC|Federal Deposit Insurance Corporation. A federal agency that insures deposits in member banks and thrifts up to $100,000.
FED FUNDS|The Fed Funds type is used by banks to track the overnight borrowing they partake in to meet bank reserve requirements. Banks needs to have certain amount of cash on hand at close of every day, if they are short they will borrow from another bank for the night. This program type was established to help the banks manage this process.
FIDC|This stands for Fundo De Investimento Em Direitos Creditorios in Portuguese
Financial commodity future.|Commodity Future. A contract to buy or sell a specific commodity at a specified price at a certain future date.
Financial commodity generic.|Cash Settled (Financial) Generics on Commodity Futures. Generics are used to combine multiple futures contracts to build a generic history stream.
Financial commodity option.|Cash Settled (Financial) Options on Commodity Futures.
Financial commodity spot.|Cash Settled (Financial) Spot on Commodity Futures. The commodity will be delivered and settled immediately or in which a futures contract will expire in one month or less.
Financial index future.|Futures contracts that use indices as their base and theoretically settle by delivery of the underlying securities or commodities that make up the indices.
Financial index generic.|Valid return for generic tickers.
Financial index option.|An option that is based on a stock index (performance measure of a group of stocks). Such options enable investors to trade in a particular market or industry group without having to buy individual stocks. Index options are issued by the Options Clearing Corporation.
FINNISH CD|Finland Domestic Certificates of Deposit
FINNISH CP|Finland Domestic Commercial Paper
FIXED|The coupon stays constant through maturity.
FIXED, OID|The coupon stays constant through maturity. The security is an Original Issue Discount.
FIXING RATE|The rate set at a specific time
FLOATING|The coupon is based off an index or benchmark, and changes in value as the index changes.
FLOATING CP|Floating Rate Commercial Paper
FLOATING, OID|The coupon is based off an index or benchmark, and changes in value as the index changes. The security is an Original Issue Discount.
Foreign Sh.|Foreign Share is a common stock, but it is the foreign line of the security and it trades on the foreign board. The foreign board was set up as an alternative board for foreign investors seeking direct ownership of securities
FORWARD|Forward. A financial instrument an investor sells for future delivery. This act is in direct violation of federal securities laws.
FORWARD CROSS|Same as a forward but traded currencies do not follow spot conventions.
FORWARD CURVE|The forward rates over different time periods
FRA|Forward rate agreements are common OTC financial derivatives in which the buyer or seller will be compensated based upon the difference between an agreed upon future interest rate level and the realized interest rate. The contract will determine the rates to be used along with the termination date and notional value. On this type of agreement, it is only the differential that is paid on the notional amount of the contract.
FRENCH CD|French Domestic Certificates of Deposit
French Cert|French Certificate - Depositary Receipt issued in France
FRENCH CP|French Domestic Commercial Paper
Fund of Funds|A mutual fund that invests in other mutual funds.
FWD SWAP|Forward starting swap, swap starting in a future date
